states,election_year,rep_pvotes,dem_pvotes,ind_pvotes,oth_pvotes,total_pvotes,rep_votes,rep_pct,dem_votes,dem_pct,ind_votes,ind_pct,oth_votes,oth_pct,tot_votes,year
Nebraska,2006,271487,73592,0,128,345207,435507,73.3,145115,24.5,0,0,12735,2.1,593357,2010
North Dakota,2008,50226,38784,0,18,89028,235009,74.4,74279,23.5,6404,2,0,0,315692,2010
Ohio,2006,812388,783044,0,0,1816916,1470708,35.2,2428013,58,112742,2.7,0,0,4184072,2010
South Dakota ,2006,(d),36389,0,0,92763,206990,61.7,121226,36.1,0,0,7292,2.2,335508,2010
Wisconsin,2006,234020,320782,0,1812,556614,979427,45.3,1139115,52.7,0,0,43158,2,2161700,2010
Alabama,2006,460019,466537,0,0,925467,718327,57.4,519827,41.5,0,0,12247,1,1250401,2010
Arkansas,2006,NA,NA,NA,NA,NA,314630,40.7,430090,55.5,15739,2,13093,1.7,773552,2010
Florida ,2006,985986,857814,0,0,1843800,2519845,52.2,2178289,45.1,92595,1.9,38541,0.8,4829270,2010
Georgia,2006,419254,482117,0,0,901371,1229724,57.9,811049,38.2,0,0,81412,3.8,2122185,2010
Kentucky,2007,202339,348238,0,0,458341,435773,41.3,619552,58.7,0,0,0,0,1055325,2010
Louisiana (a),2007,699275,397755,200810,0,1297840,"699,275 (a) ",54,397755,30.6,200810,15.4,0,0,1297840,2010
Mississippi,2007,197647,446722,0,0,644369,430807,57.9,313232,42.1,0,0,0,0,744039,2010
Missouri,2008,395885,358016,0,1729,755630,1136364,39.5,1680611,58.4,0,0,60803,2.1,2877778,2010
North Carolina ,2008,504973,1494998,0,0,1999971,2001168,46.9,2146189,50.3,0,0,121584,2.9,4268941,2010
Oklahoma ,2006,182136,264467,0,0,446603,310327,66.5,616135,33.5,0,0,0,0,926462,2010
South Carolina,2006,247281,138343,0,0,395905,601868,55.1,489076,44.8,0,0,1008,0.1,1091952,2010
Tennessee ,2006,534824,539018,0,809,1074651,540853,29.7,1247491,68.6,30205,1.6,0,0,1818549,2010
Texas,2006,655919,508602,0,0,1164521,1716792,39,1310337,29.8,1344525,30.5,27462,0.7,4399116,2010
Virginia ,2009,(b),319168,0,0,319168,1163523,59,818901,41,0,0,0,0,1982432,2010
West Virginia  ,2008,81019,354849,0,0,435868,181612,25.7,492697,69.8,31486,0,0,0,705795,2010
Alaska ,2006,101695,97238,22443,2944,160874,114697,48.1,97238,40.8,22443,7.9,2944,1.2,238307,2010
Arizona,2006,333604,246876,0,4046,584526,543528,35.4,959830,62.6,0,0,30287,2,1533645,2010
California,2006,1809189,2360529,27195,49693,4246606,4850157,55.9,3376732,39,61901,0.7,390258,4.4,8679048,2010
Colorado,2006,"193,804 (d)","142,586 (d)",0,0,336390,625886,40.2,888096,57,0,0,44405,2.8,1558387,2010
Hawaii ,2006,32107,179227,0,642,211976,215313,61.7,121717,34.9,0,0,11721,3.4,348751,2010
Idaho ,2006,137175,30443,0,0,184456,276029,52.7,198845,44.1,0,0,14550,3.2,489424,2010
Montana ,2008,81526,175043,0,0,204993,158268,32.5,318670,65.5,0,0,9796,2,486734,2010
Nevada,2006,140515,119046,0,0,259561,279003,47.9,255684,43.9,0,0,47471,8.2,582158,2010
New Mexico,2006,53974,107520,0,0,160575,174364,31.2,384806,68.8,0,0,0,0,559170,2010
Oregon,2006,300554,319177,0,0,619731,533650,38.1,579060,41.3,248655,17.7,37925,2.7,1399650,2010
Utah,2008,NA,NA,NA,NA,NA,700565,77.9,175031,19.5,0,0,23449,2.6,906706,2010
Washington ,2008,695116,712952,10884,23505,1442457,1404124,46.8,1598738,53.2,0,0,0,0,3002862,2010
Wyoming,2006,69401,29612,0,0,99013,58100,29.9,135516,69.8,0,0,276,0.1,193892,2010
